Timestamp,What’s your favourite color?
17/01/2022 08:12:10,Brown 
17/01/2022 08:17:48,Red
17/01/2022 08:23:02,Blue
17/01/2022 08:23:07,Black
17/01/2022 08:23:12,Blue
17/01/2022 08:23:21,Blue
17/01/2022 08:23:22,Blue and white
17/01/2022 08:23:37,green 
17/01/2022 08:23:42,Pink
17/01/2022 08:23:49,Yellow
17/01/2022 08:23:53,Blue
17/01/2022 08:24:21,Purple
17/01/2022 08:27:05,Blue
17/01/2022 08:27:12,Pink 
17/01/2022 08:29:21,Green
17/01/2022 08:29:33,White
17/01/2022 08:41:09,Black
17/01/2022 08:43:09,Black
17/01/2022 08:44:41,Black
17/01/2022 08:45:00,Purple
17/01/2022 08:54:49,White
17/01/2022 08:55:25,Yellow
17/01/2022 08:57:01,Off white
17/01/2022 08:57:10,Black
17/01/2022 08:57:17,White
17/01/2022 08:59:23,Dark blue
17/01/2022 09:06:05,Purple
17/01/2022 09:13:36,Blue
17/01/2022 09:13:59,Teal and turquoise 
17/01/2022 09:21:12,Blue
17/01/2022 09:22:45,Blue 
17/01/2022 09:27:12,Any neon colours
17/01/2022 09:31:44,Black 
17/01/2022 09:43:05,Red
17/01/2022 10:00:19,black
17/01/2022 10:10:19,Purple
17/01/2022 10:27:46,White.
17/01/2022 12:43:55,Yellow 
17/01/2022 13:36:38,Blue
17/01/2022 13:51:31,Black (when there is no choice black enters and wins)
17/01/2022 14:36:51,Black
17/01/2022 17:05:00,Blue
17/01/2022 23:10:37,Green
17/01/2022 23:14:20,Blue
17/01/2022 23:24:27,Black
18/01/2022 00:02:37,Blue
18/01/2022 00:12:21,Blue
18/01/2022 00:18:33,Black
18/01/2022 01:28:05,Red
18/01/2022 02:15:06,Black
18/01/2022 03:18:53,Blue
18/01/2022 07:08:59,Black
